area,coverage,variable,value
"St. Joseph County, Indiana",Female,        High school graduate or higher,"3,418"
46506,Total,        High school graduate or higher,110
46506,Male,        High school graduate or higher,17
46506,Female,        High school graduate or higher,93
46530,Total,        High school graduate or higher,772
46530,Male,        High school graduate or higher,484
46530,Female,        High school graduate or higher,288
46536,Total,        High school graduate or higher,50
46536,Male,        High school graduate or higher,0
46536,Female,        High school graduate or higher,50
46544,Total,        High school graduate or higher,702
46544,Male,        High school graduate or higher,503
46544,Female,        High school graduate or higher,199
46545,Total,        High school graduate or higher,734
46545,Male,        High school graduate or higher,333
46545,Female,        High school graduate or higher,401
46550,Total,        High school graduate or higher,142
46550,Male,        High school graduate or higher,120
46550,Female,        High school graduate or higher,22
46552,Total,        High school graduate or higher,75
46552,Male,        High school graduate or higher,23
46552,Female,        High school graduate or higher,52
46554,Total,        High school graduate or higher,52
46554,Male,        High school graduate or higher,7
46554,Female,        High school graduate or higher,45
46556,Total,        High school graduate or higher,29
46556,Male,        High school graduate or higher,29
46556,Female,        High school graduate or higher,0
46561,Total,        High school graduate or higher,242
46561,Male,        High school graduate or higher,107
46561,Female,        High school graduate or higher,135
46563,Total,        High school graduate or higher,288
46563,Male,        High school graduate or higher,89
46563,Female,        High school graduate or higher,199
46573,Total,        High school graduate or higher,39
46573,Male,        High school graduate or higher,17
46573,Female,        High school graduate or higher,22
46574,Total,        High school graduate or higher,132
46574,Male,        High school graduate or higher,46
46574,Female,        High school graduate or higher,86
46595,Total,        High school graduate or higher,0
46595,Male,        High school graduate or higher,0
46595,Female,        High school graduate or higher,0
46601,Total,        High school graduate or higher,106
46601,Male,        High school graduate or higher,69
46601,Female,        High school graduate or higher,37
46613,Total,        High school graduate or higher,436
46613,Male,        High school graduate or higher,269
46613,Female,        High school graduate or higher,167
46614,Total,        High school graduate or higher,983
46614,Male,        High school graduate or higher,447
46614,Female,        High school graduate or higher,536
46615,Total,        High school graduate or higher,314
46615,Male,        High school graduate or higher,125
46615,Female,        High school graduate or higher,189
46616,Total,        High school graduate or higher,346
46616,Male,        High school graduate or higher,229
46616,Female,        High school graduate or higher,117
46617,Total,        High school graduate or higher,275
46617,Male,        High school graduate or higher,144
46617,Female,        High school graduate or higher,131
46619,Total,        High school graduate or higher,"1,203"
46619,Male,        High school graduate or higher,407
46619,Female,        High school graduate or higher,796
46624,Total,        High school graduate or higher,0
46624,Male,        High school graduate or higher,0
46624,Female,        High school graduate or higher,0
46628,Total,        High school graduate or higher,644
46628,Male,        High school graduate or higher,446
46628,Female,        High school graduate or higher,198
46635,Total,        High school graduate or higher,68
46635,Male,        High school graduate or higher,43
46635,Female,        High school graduate or higher,25
46637,Total,        High school graduate or higher,234
46637,Male,        High school graduate or higher,156
46637,Female,        High school graduate or higher,78
"St. Joseph County, Indiana",Total,        Bachelor's degree or higher,"2,550"
"St. Joseph County, Indiana",Male,        Bachelor's degree or higher,"1,256"
"St. Joseph County, Indiana",Female,        Bachelor's degree or higher,"1,294"
46506,Total,        Bachelor's degree or higher,78
46506,Male,        Bachelor's degree or higher,0
46506,Female,        Bachelor's degree or higher,78
46530,Total,        Bachelor's degree or higher,495
46530,Male,        Bachelor's degree or higher,264
46530,Female,        Bachelor's degree or higher,231
46536,Total,        Bachelor's degree or higher,0
46536,Male,        Bachelor's degree or higher,0
46536,Female,        Bachelor's degree or higher,0
46544,Total,        Bachelor's degree or higher,292
46544,Male,        Bachelor's degree or higher,225
46544,Female,        Bachelor's degree or higher,67
46545,Total,        Bachelor's degree or higher,282
46545,Male,        Bachelor's degree or higher,104
46545,Female,        Bachelor's degree or higher,178
46550,Total,        Bachelor's degree or higher,32
46550,Male,        Bachelor's degree or higher,23
46550,Female,        Bachelor's degree or higher,9
46552,Total,        Bachelor's degree or higher,20
46552,Male,        Bachelor's degree or higher,16
46552,Female,        Bachelor's degree or higher,4
46554,Total,        Bachelor's degree or higher,19
46554,Male,        Bachelor's degree or higher,0
46554,Female,        Bachelor's degree or higher,19
46556,Total,        Bachelor's degree or higher,29
46556,Male,        Bachelor's degree or higher,29
46556,Female,        Bachelor's degree or higher,0
46561,Total,        Bachelor's degree or higher,95
46561,Male,        Bachelor's degree or higher,27
46561,Female,        Bachelor's degree or higher,68
46563,Total,        Bachelor's degree or higher,79
46563,Male,        Bachelor's degree or higher,0
46563,Female,        Bachelor's degree or higher,79
46573,Total,        Bachelor's degree or higher,3
46573,Male,        Bachelor's degree or higher,0
46573,Female,        Bachelor's degree or higher,3
46574,Total,        Bachelor's degree or higher,60
46574,Male,        Bachelor's degree or higher,36
46574,Female,        Bachelor's degree or higher,24
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,24
46601,Male,        Bachelor's degree or higher,9
46601,Female,        Bachelor's degree or higher,15
46613,Total,        Bachelor's degree or higher,56
46613,Male,        Bachelor's degree or higher,31
46613,Female,        Bachelor's degree or higher,25
46614,Total,        Bachelor's degree or higher,345
46614,Male,        Bachelor's degree or higher,116
46614,Female,        Bachelor's degree or higher,229
46615,Total,        Bachelor's degree or higher,147
46615,Male,        Bachelor's degree or higher,73
46615,Female,        Bachelor's degree or higher,74
46616,Total,        Bachelor's degree or higher,239
46616,Male,        Bachelor's degree or higher,174
46616,Female,        Bachelor's degree or higher,65
46617,Total,        Bachelor's degree or higher,137
46617,Male,        Bachelor's degree or higher,63
46617,Female,        Bachelor's degree or higher,74
46619,Total,        Bachelor's degree or higher,111
46619,Male,        Bachelor's degree or higher,15
46619,Female,        Bachelor's degree or higher,96
46624,Total,        Bachelor's degree or higher,0
46624,Male,        Bachelor's degree or higher,0
46624,Female,        Bachelor's degree or higher,0
46628,Total,        Bachelor's degree or higher,137
46628,Male,        Bachelor's degree or higher,48
46628,Female,        Bachelor's degree or higher,89
46635,Total,        Bachelor's degree or higher,35
46635,Male,        Bachelor's degree or higher,12
46635,Female,        Bachelor's degree or higher,23
46637,Total,        Bachelor's degree or higher,129
46637,Male,        Bachelor's degree or higher,99
46637,Female,        Bachelor's degree or higher,30
"St. Joseph County, Indiana",Total,    Hispanic or Latino Origin,"12,226"
"St. Joseph County, Indiana",Male,    Hispanic or Latino Origin,"6,421"
"St. Joseph County, Indiana",Female,    Hispanic or Latino Origin,"5,805"
46506,Total,    Hispanic or Latino Origin,455
46506,Male,    Hispanic or Latino Origin,201
46506,Female,    Hispanic or Latino Origin,254
46530,Total,    Hispanic or Latino Origin,540
46530,Male,    Hispanic or Latino Origin,231
46530,Female,    Hispanic or Latino Origin,309
46536,Total,    Hispanic or Latino Origin,7
46536,Male,    Hispanic or Latino Origin,0
46536,Female,    Hispanic or Latino Origin,7
46544,Total,    Hispanic or Latino Origin,524
46544,Male,    Hispanic or Latino Origin,344
46544,Female,    Hispanic or Latino Origin,180
46545,Total,    Hispanic or Latino Origin,"1,023"
46545,Male,    Hispanic or Latino Origin,510
46545,Female,    Hispanic or Latino Origin,513
46550,Total,    Hispanic or Latino Origin,555
46550,Male,    Hispanic or Latino Origin,270
46550,Female,    Hispanic or Latino Origin,285
46552,Total,    Hispanic or Latino Origin,178
46552,Male,    Hispanic or Latino Origin,94
46552,Female,    Hispanic or Latino Origin,84
46554,Total,    Hispanic or Latino Origin,30
46554,Male,    Hispanic or Latino Origin,7
46554,Female,    Hispanic or Latino Origin,23
46556,Total,    Hispanic or Latino Origin,53
46556,Male,    Hispanic or Latino Origin,52
46556,Female,    Hispanic or Latino Origin,1
46561,Total,    Hispanic or Latino Origin,346
46561,Male,    Hispanic or Latino Origin,163
46561,Female,    Hispanic or Latino Origin,183
46563,Total,    Hispanic or Latino Origin,"2,014"
46563,Male,    Hispanic or Latino Origin,"1,232"
46563,Female,    Hispanic or Latino Origin,782
46573,Total,    Hispanic or Latino Origin,128
46573,Male,    Hispanic or Latino Origin,91
46573,Female,    Hispanic or Latino Origin,37
46574,Total,    Hispanic or Latino Origin,232
46574,Male,    Hispanic or Latino Origin,115
46574,Female,    Hispanic or Latino Origin,117
46595,Total,    Hispanic or Latino Origin,0
46595,Male,    Hispanic or Latino Origin,0
46595,Female,    Hispanic or Latino Origin,0
46601,Total,    Hispanic or Latino Origin,175
46601,Male,    Hispanic or Latino Origin,140
46601,Female,    Hispanic or Latino Origin,35
46613,Total,    Hispanic or Latino Origin,"1,185"
46613,Male,    Hispanic or Latino Origin,604
46613,Female,    Hispanic or Latino Origin,581
46614,Total,    Hispanic or Latino Origin,"1,167"
46614,Male,    Hispanic or Latino Origin,548
46614,Female,    Hispanic or Latino Origin,619
46615,Total,    Hispanic or Latino Origin,637
46615,Male,    Hispanic or Latino Origin,366
46615,Female,    Hispanic or Latino Origin,271
46616,Total,    Hispanic or Latino Origin,422
46616,Male,    Hispanic or Latino Origin,293
46616,Female,    Hispanic or Latino Origin,129
46617,Total,    Hispanic or Latino Origin,373
46617,Male,    Hispanic or Latino Origin,181
46617,Female,    Hispanic or Latino Origin,192
46619,Total,    Hispanic or Latino Origin,"4,259"
46619,Male,    Hispanic or Latino Origin,"2,039"
46619,Female,    Hispanic or Latino Origin,"2,220"
46624,Total,    Hispanic or Latino Origin,0
46624,Male,    Hispanic or Latino Origin,0
46624,Female,    Hispanic or Latino Origin,0
46628,Total,    Hispanic or Latino Origin,"1,148"
46628,Male,    Hispanic or Latino Origin,723
46628,Female,    Hispanic or Latino Origin,425
46635,Total,    Hispanic or Latino Origin,58
46635,Male,    Hispanic or Latino Origin,37
46635,Female,    Hispanic or Latino Origin,21
46637,Total,    Hispanic or Latino Origin,241
46637,Male,    Hispanic or Latino Origin,149
46637,Female,    Hispanic or Latino Origin,92
"St. Joseph County, Indiana",Total,        High school graduate or higher,"9,446"
"St. Joseph County, Indiana",Male,        High school graduate or higher,"4,777"
"St. Joseph County, Indiana",Female,        High school graduate or higher,"4,669"
46506,Total,        High school graduate or higher,209
46506,Male,        High school graduate or higher,49
46506,Female,        High school graduate or higher,160
46530,Total,        High school graduate or higher,537
46530,Male,        High school graduate or higher,231
46530,Female,        High school graduate or higher,306
46536,Total,        High school graduate or higher,7
46536,Male,        High school graduate or higher,0
46536,Female,        High school graduate or higher,7
46544,Total,        High school graduate or higher,498
46544,Male,        High school graduate or higher,318
46544,Female,        High school graduate or higher,180
46545,Total,        High school graduate or higher,926
46545,Male,        High school graduate or higher,432
46545,Female,        High school graduate or higher,494
46550,Total,        High school graduate or higher,342
46550,Male,        High school graduate or higher,141
46550,Female,        High school graduate or higher,201
46552,Total,        High school graduate or higher,89
46552,Male,        High school graduate or higher,34
46552,Female,        High school graduate or higher,55
46554,Total,        High school graduate or higher,30
46554,Male,        High school graduate or higher,7
46554,Female,        High school graduate or higher,23
46556,Total,        High school graduate or higher,53
46556,Male,        High school graduate or higher,52
46556,Female,        High school graduate or higher,1
46561,Total,        High school graduate or higher,315
46561,Male,        High school graduate or higher,158
46561,Female,        High school graduate or higher,157
46563,Total,        High school graduate or higher,"1,305"
46563,Male,        High school graduate or higher,863
46563,Female,        High school graduate or higher,442
46573,Total,        High school graduate or higher,38
46573,Male,        High school graduate or higher,16
46573,Female,        High school graduate or higher,22
46574,Total,        High school graduate or higher,177
46574,Male,        High school graduate or higher,60
46574,Female,        High school graduate or higher,117
46595,Total,        High school graduate or higher,0
46595,Male,        High school graduate or higher,0
46595,Female,        High school graduate or higher,0
46601,Total,        High school graduate or higher,120
46601,Male,        High school graduate or higher,94
46601,Female,        High school graduate or higher,26
46613,Total,        High school graduate or higher,822
46613,Male,        High school graduate or higher,405
46613,Female,        High school graduate or higher,417
46614,Total,        High school graduate or higher,"1,080"
46614,Male,        High school graduate or higher,526
46614,Female,        High school graduate or higher,554
46615,Total,        High school graduate or higher,483
46615,Male,        High school graduate or higher,218
46615,Female,        High school graduate or higher,265
46616,Total,        High school graduate or higher,408
46616,Male,        High school graduate or higher,279
46616,Female,        High school graduate or higher,129
46617,Total,        High school graduate or higher,356
46617,Male,        High school graduate or higher,173
46617,Female,        High school graduate or higher,183
46619,Total,        High school graduate or higher,"2,785"
46619,Male,        High school graduate or higher,"1,213"
46619,Female,        High school graduate or higher,"1,572"
46624,Total,        High school graduate or higher,0
46624,Male,        High school graduate or higher,0
46624,Female,        High school graduate or higher,0
46628,Total,        High school graduate or higher,719
46628,Male,        High school graduate or higher,476
46628,Female,        High school graduate or higher,243
46635,Total,        High school graduate or higher,42
46635,Male,        High school graduate or higher,26
46635,Female,        High school graduate or higher,16
46637,Total,        High school graduate or higher,227
46637,Male,        High school graduate or higher,135
46637,Female,        High school graduate or higher,92
"St. Joseph County, Indiana",Total,        Bachelor's degree or higher,"2,976"
"St. Joseph County, Indiana",Male,        Bachelor's degree or higher,"1,334"
"St. Joseph County, Indiana",Female,        Bachelor's degree or higher,"1,642"
46506,Total,        Bachelor's degree or higher,126
46506,Male,        Bachelor's degree or higher,26
46506,Female,        Bachelor's degree or higher,100
46530,Total,        Bachelor's degree or higher,387
46530,Male,        Bachelor's degree or higher,178
46530,Female,        Bachelor's degree or higher,209
46536,Total,        Bachelor's degree or higher,1
46536,Male,        Bachelor's degree or higher,0
46536,Female,        Bachelor's degree or higher,1
46544,Total,        Bachelor's degree or higher,176
46544,Male,        Bachelor's degree or higher,112
46544,Female,        Bachelor's degree or higher,64
46545,Total,        Bachelor's degree or higher,375
46545,Male,        Bachelor's degree or higher,151
46545,Female,        Bachelor's degree or higher,224
46550,Total,        Bachelor's degree or higher,0
46550,Male,        Bachelor's degree or higher,0
46550,Female,        Bachelor's degree or higher,0
46552,Total,        Bachelor's degree or higher,21
46552,Male,        Bachelor's degree or higher,21
46552,Female,        Bachelor's degree or higher,0
46554,Total,        Bachelor's degree or higher,0
46554,Male,        Bachelor's degree or higher,0
46554,Female,        Bachelor's degree or higher,0
46556,Total,        Bachelor's degree or higher,29
46556,Male,        Bachelor's degree or higher,28
46556,Female,        Bachelor's degree or higher,1
46561,Total,        Bachelor's degree or higher,78
46561,Male,        Bachelor's degree or higher,20
46561,Female,        Bachelor's degree or higher,58
46563,Total,        Bachelor's degree or higher,335
46563,Male,        Bachelor's degree or higher,268
46563,Female,        Bachelor's degree or higher,67
46573,Total,        Bachelor's degree or higher,4
46573,Male,        Bachelor's degree or higher,4
46573,Female,        Bachelor's degree or higher,0
46574,Total,        Bachelor's degree or higher,50
46574,Male,        Bachelor's degree or higher,38
46574,Female,        Bachelor's degree or higher,12
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,42
46601,Male,        Bachelor's degree or higher,22
46601,Female,        Bachelor's degree or higher,20
46613,Total,        Bachelor's degree or higher,87
46613,Male,        Bachelor's degree or higher,62
46613,Female,        Bachelor's degree or higher,25
46614,Total,        Bachelor's degree or higher,421
46614,Male,        Bachelor's degree or higher,150
46614,Female,        Bachelor's degree or higher,271
46615,Total,        Bachelor's degree or higher,157
46615,Male,        Bachelor's degree or higher,71
46615,Female,        Bachelor's degree or higher,86
46616,Total,        Bachelor's degree or higher,231
46616,Male,        Bachelor's degree or higher,168
46616,Female,        Bachelor's degree or higher,63
46617,Total,        Bachelor's degree or higher,229
46617,Male,        Bachelor's degree or higher,79
46617,Female,        Bachelor's degree or higher,150
46619,Total,        Bachelor's degree or higher,421
46619,Male,        Bachelor's degree or higher,72
46619,Female,        Bachelor's degree or higher,349
46624,Total,        Bachelor's degree or higher,0
46624,Male,        Bachelor's degree or higher,0
46624,Female,        Bachelor's degree or higher,0
46628,Total,        Bachelor's degree or higher,135
46628,Male,        Bachelor's degree or higher,76
46628,Female,        Bachelor's degree or higher,59
46635,Total,        Bachelor's degree or higher,26
46635,Male,        Bachelor's degree or higher,12
46635,Female,        Bachelor's degree or higher,14
46637,Total,        Bachelor's degree or higher,157
46637,Male,        Bachelor's degree or higher,109
46637,Female,        Bachelor's degree or higher,48
"St. Joseph County, Indiana",Total,    Less than high school graduate,(X)
"St. Joseph County, Indiana",Male,    Less than high school graduate,(X)
"St. Joseph County, Indiana",Female,    Less than high school graduate,(X)
46506,Total,    Less than high school graduate,(X)
46506,Male,    Less than high school graduate,(X)
46506,Female,    Less than high school graduate,(X)
46530,Total,    Less than high school graduate,(X)
46530,Male,    Less than high school graduate,(X)
46530,Female,    Less than high school graduate,(X)
46536,Total,    Less than high school graduate,(X)
46536,Male,    Less than high school graduate,(X)
46536,Female,    Less than high school graduate,(X)
46544,Total,    Less than high school graduate,(X)
46544,Male,    Less than high school graduate,(X)
46544,Female,    Less than high school graduate,(X)
46545,Total,    Less than high school graduate,(X)
46545,Male,    Less than high school graduate,(X)
46545,Female,    Less than high school graduate,(X)
46550,Total,    Less than high school graduate,(X)
46550,Male,    Less than high school graduate,(X)
46550,Female,    Less than high school graduate,(X)
46552,Total,    Less than high school graduate,(X)
46552,Male,    Less than high school graduate,(X)
46552,Female,    Less than high school graduate,(X)
46554,Total,    Less than high school graduate,(X)
46554,Male,    Less than high school graduate,(X)
46554,Female,    Less than high school graduate,(X)
46556,Total,    Less than high school graduate,(X)
46556,Male,    Less than high school graduate,(X)
46556,Female,    Less than high school graduate,(X)
46561,Total,    Less than high school graduate,(X)
46561,Male,    Less than high school graduate,(X)
46561,Female,    Less than high school graduate,(X)
46563,Total,    Less than high school graduate,(X)
46563,Male,    Less than high school graduate,(X)
46563,Female,    Less than high school graduate,(X)
46573,Total,    Less than high school graduate,(X)
46573,Male,    Less than high school graduate,(X)
46573,Female,    Less than high school graduate,(X)
46574,Total,    Less than high school graduate,(X)
46574,Male,    Less than high school graduate,(X)
46574,Female,    Less than high school graduate,(X)
46595,Total,    Less than high school graduate,(X)
46595,Male,    Less than high school graduate,(X)
46595,Female,    Less than high school graduate,(X)
46601,Total,    Less than high school graduate,(X)
46601,Male,    Less than high school graduate,(X)
46601,Female,    Less than high school graduate,(X)
46613,Total,    Less than high school graduate,(X)
46613,Male,    Less than high school graduate,(X)
46613,Female,    Less than high school graduate,(X)
46614,Total,    Less than high school graduate,(X)
46614,Male,    Less than high school graduate,(X)
46614,Female,    Less than high school graduate,(X)
46615,Total,    Less than high school graduate,(X)
46615,Male,    Less than high school graduate,(X)
46615,Female,    Less than high school graduate,(X)
46616,Total,    Less than high school graduate,(X)
46616,Male,    Less than high school graduate,(X)
46616,Female,    Less than high school graduate,(X)
46617,Total,    Less than high school graduate,(X)
46617,Male,    Less than high school graduate,(X)
46617,Female,    Less than high school graduate,(X)
46619,Total,    Less than high school graduate,(X)
46619,Male,    Less than high school graduate,(X)
46619,Female,    Less than high school graduate,(X)
46624,Total,    Less than high school graduate,(X)
46624,Male,    Less than high school graduate,(X)
46624,Female,    Less than high school graduate,(X)
46628,Total,    Less than high school graduate,(X)
46628,Male,    Less than high school graduate,(X)
46628,Female,    Less than high school graduate,(X)
46635,Total,    Less than high school graduate,(X)
46635,Male,    Less than high school graduate,(X)
46635,Female,    Less than high school graduate,(X)
46637,Total,    Less than high school graduate,(X)
46637,Male,    Less than high school graduate,(X)
46637,Female,    Less than high school graduate,(X)
"St. Joseph County, Indiana",Total,    High school graduate (includes equivalency),(X)
"St. Joseph County, Indiana",Male,    High school graduate (includes equivalency),(X)
"St. Joseph County, Indiana",Female,    High school graduate (includes equivalency),(X)
46506,Total,    High school graduate (includes equivalency),(X)
46506,Male,    High school graduate (includes equivalency),(X)
46506,Female,    High school graduate (includes equivalency),(X)
46530,Total,    High school graduate (includes equivalency),(X)
46530,Male,    High school graduate (includes equivalency),(X)
46530,Female,    High school graduate (includes equivalency),(X)
46536,Total,    High school graduate (includes equivalency),(X)
46536,Male,    High school graduate (includes equivalency),(X)
46536,Female,    High school graduate (includes equivalency),(X)
46544,Total,    High school graduate (includes equivalency),(X)
46544,Male,    High school graduate (includes equivalency),(X)
46544,Female,    High school graduate (includes equivalency),(X)
46545,Total,    High school graduate (includes equivalency),(X)
46545,Male,    High school graduate (includes equivalency),(X)
46545,Female,    High school graduate (includes equivalency),(X)
46550,Total,    High school graduate (includes equivalency),(X)
46550,Male,    High school graduate (includes equivalency),(X)
46550,Female,    High school graduate (includes equivalency),(X)
46552,Total,    High school graduate (includes equivalency),(X)
46552,Male,    High school graduate (includes equivalency),(X)
46552,Female,    High school graduate (includes equivalency),(X)
46554,Total,    High school graduate (includes equivalency),(X)
46554,Male,    High school graduate (includes equivalency),(X)
46554,Female,    High school graduate (includes equivalency),(X)
46556,Total,    High school graduate (includes equivalency),(X)
46556,Male,    High school graduate (includes equivalency),(X)
46556,Female,    High school graduate (includes equivalency),(X)
46561,Total,    High school graduate (includes equivalency),(X)
46561,Male,    High school graduate (includes equivalency),(X)
46561,Female,    High school graduate (includes equivalency),(X)
46563,Total,    High school graduate (includes equivalency),(X)
46563,Male,    High school graduate (includes equivalency),(X)
46563,Female,    High school graduate (includes equivalency),(X)
46573,Total,    High school graduate (includes equivalency),(X)
46573,Male,    High school graduate (includes equivalency),(X)
46573,Female,    High school graduate (includes equivalency),(X)
46574,Total,    High school graduate (includes equivalency),(X)
46574,Male,    High school graduate (includes equivalency),(X)
46574,Female,    High school graduate (includes equivalency),(X)
46595,Total,    High school graduate (includes equivalency),(X)
46595,Male,    High school graduate (includes equivalency),(X)
46595,Female,    High school graduate (includes equivalency),(X)
46601,Total,    High school graduate (includes equivalency),(X)
46601,Male,    High school graduate (includes equivalency),(X)
46601,Female,    High school graduate (includes equivalency),(X)
46613,Total,    High school graduate (includes equivalency),(X)
46613,Male,    High school graduate (includes equivalency),(X)
46613,Female,    High school graduate (includes equivalency),(X)
46614,Total,    High school graduate (includes equivalency),(X)
46614,Male,    High school graduate (includes equivalency),(X)
46614,Female,    High school graduate (includes equivalency),(X)
46615,Total,    High school graduate (includes equivalency),(X)
46615,Male,    High school graduate (includes equivalency),(X)
46615,Female,    High school graduate (includes equivalency),(X)
46616,Total,    High school graduate (includes equivalency),(X)
46616,Male,    High school graduate (includes equivalency),(X)
46616,Female,    High school graduate (includes equivalency),(X)
46617,Total,    High school graduate (includes equivalency),(X)
46617,Male,    High school graduate (includes equivalency),(X)
46617,Female,    High school graduate (includes equivalency),(X)
46619,Total,    High school graduate (includes equivalency),(X)
46619,Male,    High school graduate (includes equivalency),(X)
46619,Female,    High school graduate (includes equivalency),(X)
46624,Total,    High school graduate (includes equivalency),(X)
46624,Male,    High school graduate (includes equivalency),(X)
46624,Female,    High school graduate (includes equivalency),(X)
46628,Total,    High school graduate (includes equivalency),(X)
46628,Male,    High school graduate (includes equivalency),(X)
46628,Female,    High school graduate (includes equivalency),(X)
46635,Total,    High school graduate (includes equivalency),(X)
46635,Male,    High school graduate (includes equivalency),(X)
46635,Female,    High school graduate (includes equivalency),(X)
46637,Total,    High school graduate (includes equivalency),(X)
46637,Male,    High school graduate (includes equivalency),(X)
46637,Female,    High school graduate (includes equivalency),(X)
"St. Joseph County, Indiana",Total,    Some college or associate's degree,(X)
"St. Joseph County, Indiana",Male,    Some college or associate's degree,(X)
"St. Joseph County, Indiana",Female,    Some college or associate's degree,(X)
46506,Total,    Some college or associate's degree,(X)
46506,Male,    Some college or associate's degree,(X)
46506,Female,    Some college or associate's degree,(X)
46530,Total,    Some college or associate's degree,(X)
46530,Male,    Some college or associate's degree,(X)
46530,Female,    Some college or associate's degree,(X)
46536,Total,    Some college or associate's degree,(X)
46536,Male,    Some college or associate's degree,(X)
46536,Female,    Some college or associate's degree,(X)
46544,Total,    Some college or associate's degree,(X)
46544,Male,    Some college or associate's degree,(X)
46544,Female,    Some college or associate's degree,(X)
46545,Total,    Some college or associate's degree,(X)
46545,Male,    Some college or associate's degree,(X)
46545,Female,    Some college or associate's degree,(X)
46550,Total,    Some college or associate's degree,(X)
46550,Male,    Some college or associate's degree,(X)
46550,Female,    Some college or associate's degree,(X)
46552,Total,    Some college or associate's degree,(X)
46552,Male,    Some college or associate's degree,(X)
46552,Female,    Some college or associate's degree,(X)
46554,Total,    Some college or associate's degree,(X)
46554,Male,    Some college or associate's degree,(X)
46554,Female,    Some college or associate's degree,(X)
46556,Total,    Some college or associate's degree,(X)
46556,Male,    Some college or associate's degree,(X)
46556,Female,    Some college or associate's degree,(X)
46561,Total,    Some college or associate's degree,(X)
46561,Male,    Some college or associate's degree,(X)
46561,Female,    Some college or associate's degree,(X)
46563,Total,    Some college or associate's degree,(X)
46563,Male,    Some college or associate's degree,(X)
46563,Female,    Some college or associate's degree,(X)
46573,Total,    Some college or associate's degree,(X)
46573,Male,    Some college or associate's degree,(X)
46573,Female,    Some college or associate's degree,(X)
46574,Total,    Some college or associate's degree,(X)
46574,Male,    Some college or associate's degree,(X)
46574,Female,    Some college or associate's degree,(X)
46595,Total,    Some college or associate's degree,(X)
46595,Male,    Some college or associate's degree,(X)
46595,Female,    Some college or associate's degree,(X)
46601,Total,    Some college or associate's degree,(X)
46601,Male,    Some college or associate's degree,(X)
46601,Female,    Some college or associate's degree,(X)
46613,Total,    Some college or associate's degree,(X)
46613,Male,    Some college or associate's degree,(X)
46613,Female,    Some college or associate's degree,(X)
46614,Total,    Some college or associate's degree,(X)
46614,Male,    Some college or associate's degree,(X)
46614,Female,    Some college or associate's degree,(X)
46615,Total,    Some college or associate's degree,(X)
46615,Male,    Some college or associate's degree,(X)
46615,Female,    Some college or associate's degree,(X)
46616,Total,    Some college or associate's degree,(X)
46616,Male,    Some college or associate's degree,(X)
46616,Female,    Some college or associate's degree,(X)
46617,Total,    Some college or associate's degree,(X)
46617,Male,    Some college or associate's degree,(X)
46617,Female,    Some college or associate's degree,(X)
46619,Total,    Some college or associate's degree,(X)
46619,Male,    Some college or associate's degree,(X)
46619,Female,    Some college or associate's degree,(X)
46624,Total,    Some college or associate's degree,(X)
46624,Male,    Some college or associate's degree,(X)
46624,Female,    Some college or associate's degree,(X)
46628,Total,    Some college or associate's degree,(X)
46628,Male,    Some college or associate's degree,(X)
46628,Female,    Some college or associate's degree,(X)
46635,Total,    Some college or associate's degree,(X)
46635,Male,    Some college or associate's degree,(X)
46635,Female,    Some college or associate's degree,(X)
46637,Total,    Some college or associate's degree,(X)
46637,Male,    Some college or associate's degree,(X)
46637,Female,    Some college or associate's degree,(X)
"St. Joseph County, Indiana",Total,    Bachelor's degree or higher,(X)
"St. Joseph County, Indiana",Male,    Bachelor's degree or higher,(X)
"St. Joseph County, Indiana",Female,    Bachelor's degree or higher,(X)
46506,Total,    Bachelor's degree or higher,(X)
46506,Male,    Bachelor's degree or higher,(X)
46506,Female,    Bachelor's degree or higher,(X)
46530,Total,    Bachelor's degree or higher,(X)
46530,Male,    Bachelor's degree or higher,(X)
46530,Female,    Bachelor's degree or higher,(X)
46536,Total,    Bachelor's degree or higher,(X)
46536,Male,    Bachelor's degree or higher,(X)
46536,Female,    Bachelor's degree or higher,(X)
46544,Total,    Bachelor's degree or higher,(X)
46544,Male,    Bachelor's degree or higher,(X)
46544,Female,    Bachelor's degree or higher,(X)
46545,Total,    Bachelor's degree or higher,(X)
46545,Male,    Bachelor's degree or higher,(X)
46545,Female,    Bachelor's degree or higher,(X)
46550,Total,    Bachelor's degree or higher,(X)
46550,Male,    Bachelor's degree or higher,(X)
46550,Female,    Bachelor's degree or higher,(X)
46552,Total,    Bachelor's degree or higher,(X)
46552,Male,    Bachelor's degree or higher,(X)
46552,Female,    Bachelor's degree or higher,(X)
46554,Total,    Bachelor's degree or higher,(X)
46554,Male,    Bachelor's degree or higher,(X)
46554,Female,    Bachelor's degree or higher,(X)
46556,Total,    Bachelor's degree or higher,(X)
46556,Male,    Bachelor's degree or higher,(X)
46556,Female,    Bachelor's degree or higher,(X)
46561,Total,    Bachelor's degree or higher,(X)
46561,Male,    Bachelor's degree or higher,(X)
46561,Female,    Bachelor's degree or higher,(X)
